Encryption Time (s),Decryption Time (s),Verification Passed
0.008559226989746094,0.004091739654541016,True
0.002354860305786133,0.004041433334350586,True
0.0020210742950439453,0.0040302276611328125,True
0.002000093460083008,0.004227876663208008,True
0.002545595169067383,0.0037505626678466797,True
0.002021312713623047,0.003797769546508789,True
0.0015125274658203125,0.0030105113983154297,True
0.0017364025115966797,0.0035669803619384766,True
0.0024001598358154297,0.0046002864837646484,True
0.001007080078125,0.004173755645751953,True
0.001840829849243164,0.004158496856689453,True
0.002595186233520508,0.004712820053100586,True
0.002518892288208008,0.0030057430267333984,True
0.0010044574737548828,0.003510713577270508,True
0.0020437240600585938,0.0027091503143310547,True
0.0010454654693603516,0.004484891891479492,True
0.0012888908386230469,0.004552602767944336,True
0.0010111331939697266,0.004513978958129883,True
0.0010027885437011719,0.0037527084350585938,True
0.002393007278442383,0.0040493011474609375,True
0.0020759105682373047,0.004689693450927734,True
0.0015103816986083984,0.005608081817626953,True
0.002008199691772461,0.0036499500274658203,True
0.0027458667755126953,0.0038640499114990234,True
0.0010013580322265625,0.004066944122314453,True
0.0010099411010742188,0.004973173141479492,True
0.0010476112365722656,0.004762172698974609,True
0.0025620460510253906,0.0033893585205078125,True
0.0013797283172607422,0.004361391067504883,True
0.00101470947265625,0.004778385162353516,True
0.002001047134399414,0.004044771194458008,True
0.001983165740966797,0.00460505485534668,True
0.002562999725341797,0.003619670867919922,True
0.0010008811950683594,0.0045299530029296875,True
0.002017974853515625,0.0030975341796875,True
0.0010228157043457031,0.004891395568847656,True
0.0017247200012207031,0.0035932064056396484,True
0.0026578903198242188,0.0036153793334960938,True
0.0015065670013427734,0.0039670467376708984,True
0.0020117759704589844,0.004974365234375,True
0.0020112991333007812,0.003509044647216797,True
0.0018684864044189453,0.003531932830810547,True
0.0013506412506103516,0.004594326019287109,True
0.0016713142395019531,0.003976345062255859,True
0.001500844955444336,0.0030181407928466797,True
0.0020334720611572266,0.004059791564941406,True
0.00261688232421875,0.0026798248291015625,True
0.0015075206756591797,0.0030059814453125,True
0.0013840198516845703,0.004084587097167969,True
0.002001523971557617,0.003665924072265625,True
0.002082347869873047,0.003033876419067383,True
0.0024971961975097656,0.003964900970458984,True
0.002424478530883789,0.003014087677001953,True
0.0015022754669189453,0.004515886306762695,True
0.002119302749633789,0.003431081771850586,True
0.0032279491424560547,0.007339000701904297,True
0.0015482902526855469,0.004051685333251953,True
0.001001119613647461,0.004747629165649414,True
0.0010039806365966797,0.0035212039947509766,True
0.0010085105895996094,0.0040590763092041016,True
0.0020101070404052734,0.004060268402099609,True
0.001013040542602539,0.003613710403442383,True
0.0010056495666503906,0.004083871841430664,True
0.0010082721710205078,0.003992557525634766,True
0.0011508464813232422,0.004514217376708984,True
0.0019960403442382812,0.0028715133666992188,True
0.002000570297241211,0.00412440299987793,True
0.0026345252990722656,0.003973722457885742,True
0.00269317626953125,0.0032401084899902344,True
0.002475261688232422,0.0040585994720458984,True
0.0010635852813720703,0.004636526107788086,True
0.0011069774627685547,0.0042133331298828125,True
0.001005411148071289,0.004610538482666016,True
0.0015065670013427734,0.003637552261352539,True
0.002044677734375,0.0039920806884765625,True
0.0026824474334716797,0.0035941600799560547,True
0.0026807785034179688,0.0035295486450195312,True
0.0010058879852294922,0.00474095344543457,True
0.0025186538696289062,0.0030412673950195312,True
0.0015468597412109375,0.004061698913574219,True
0.014532089233398438,0.005693674087524414,True
0.002023458480834961,0.004255771636962891,True
0.001001596450805664,0.004084110260009766,True
0.0031652450561523438,0.0039746761322021484,True
0.0010406970977783203,0.004160404205322266,True
0.0020041465759277344,0.0037500858306884766,True
0.0019979476928710938,0.0020253658294677734,True
0.0015075206756591797,0.003548145294189453,True
0.0011925697326660156,0.0041768550872802734,True
0.0010099411010742188,0.00452423095703125,True
0.0010378360748291016,0.00410008430480957,True
0.002087831497192383,0.0033113956451416016,True
0.001008749008178711,0.004943132400512695,True
0.0019600391387939453,0.005246639251708984,True
0.0019495487213134766,0.003032207489013672,True
0.001001119613647461,0.0034656524658203125,True
0.0015070438385009766,0.004393339157104492,True
0.0022516250610351562,0.004658937454223633,True
0.001360177993774414,0.004097461700439453,True
0.0010044574737548828,0.004759788513183594,True
